GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,LEAGUE_ID,TEAM_ID,Conf,MIN_YEAR,MAX_YEAR,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION
12/29/2019,21900490,Final,1610612747,1610612742,2019,1610612747,108,0.48700000000000004,0.821,0.391,28,39,1610612742,95,0.36,0.9,0.302,17,45,1,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
12/28/2019,21900482,Final,1610612744,1610612742,2019,1610612744,121,0.489,0.765,0.462,28,42,1610612742,141,0.522,1.0,0.47100000000000003,35,46,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
12/22/2019,21900439,Final,1610612761,1610612742,2019,1610612761,110,0.39399999999999996,0.8390000000000001,0.294,21,51,1610612742,107,0.389,0.815,0.326,27,53,1,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
12/20/2019,21900425,Final,1610612755,1610612742,2019,1610612755,98,0.42200000000000004,0.667,0.294,25,46,1610612742,117,0.518,0.773,0.424,23,49,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
12/16/2019,21900398,Final,1610612749,1610612742,2019,1610612749,116,0.419,0.708,0.268,29,52,1610612742,120,0.466,0.815,0.39,27,52,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
12/12/2019,21900369,Final,1610612765,1610612742,2019,1610612765,111,0.449,0.696,0.35700000000000004,23,34,1610612742,122,0.511,0.696,0.364,25,52,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
12/3/2019,21900302,Final,1610612740,1610612742,2019,1610612740,97,0.40399999999999997,0.667,0.268,20,47,1610612742,118,0.43200000000000005,0.852,0.42200000000000004,22,51,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
3/1/2020,21900897,Final,1610612746,1610612755,2019,1610612746,136,0.5920000000000001,0.805,0.542,25,37,1610612755,130,0.505,0.65,0.488,27,37,1,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
2/26/2020,21900865,Final,1610612739,1610612755,2019,1610612739,108,0.526,0.882,0.45799999999999996,24,48,1610612755,94,0.40399999999999997,0.643,0.342,22,31,1,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
2/22/2020,21900840,Final,1610612749,1610612755,2019,1610612749,119,0.527,0.6920000000000001,0.341,35,57,1610612755,98,0.354,0.833,0.342,17,43,1,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
2/6/2020,21900766,Final,1610612749,1610612755,2019,1610612749,112,0.46799999999999997,0.667,0.324,19,60,1610612755,101,0.374,0.5710000000000001,0.42200000000000004,24,50,1,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
2/3/2020,21900747,Final,1610612748,1610612755,2019,1610612748,137,0.565,0.833,0.5,27,35,1610612755,106,0.434,0.84,0.342,24,44,1,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
2/1/2020,21900732,Final,1610612738,1610612755,2019,1610612738,116,0.475,0.78,0.267,15,42,1610612755,95,0.369,0.8390000000000001,0.212,15,47,1,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
1/30/2020,21900716,Final,1610612737,1610612755,2019,1610612737,127,0.483,0.865,0.314,29,48,1610612755,117,0.46299999999999997,0.711,0.29,22,42,1,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
1/22/2020,21900660,Final,1610612761,1610612755,2019,1610612761,107,0.465,0.667,0.39399999999999996,27,53,1610612755,95,0.381,0.722,0.391,25,45,1,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
1/20/2020,21900641,Final,1610612751,1610612755,2019,1610612751,111,0.48100000000000004,0.647,0.379,22,47,1610612755,117,0.447,0.741,0.33299999999999996,30,43,0,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
1/18/2020,21900630,Final,1610612752,1610612755,2019,1610612752,87,0.39799999999999996,0.611,0.24,20,48,1610612755,90,0.436,0.632,0.313,26,41,0,0,1610612755,East,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats
